brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
FORD  Kuga,KUGA 1.5 EcoBoost Freedom TITANIUM! RENDELHETŐ!,CarNet Auto-Fort Kft.,(XXI. kerület),Márkakereskedő,2023. 01.,2 km,11 199 000 Ft
FORD  Puma,PUMA 1.0 EcoBoost mHEV ST-Line DCT SZENTENDRÉRŐL! KÉSZLETES / RENDELÉS! HÍVJON MOST!,Hovány Csoport,(Szentendre),Márkakereskedő,2023. 01.,10 km,11 210 000 Ft
FORD  Puma,PUMA 1.0 EcoBoost mHEV ST-Line DCT SZENTENDRÉRŐL! KÉSZLETES / RENDELÉS! HÍVJON MOST!,Hovány Csoport,(Szentendre),Márkakereskedő,2023. 01.,10 km,11 210 000 Ft
CITROEN  C4,C4 1.2 PureTech Shine EAT8 Azonnal több darabos készlet!5 Év Garancia!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 215 000 Ft
CITROEN  C4,C4 1.2 PureTech Shine EAT8 Azonnal több darabos készlet!5 Év Garancia!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 215 000 Ft
FORD  Transit,TRANSIT CUSTOM VAN Trend L1H1 1.0/300,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 228 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L2 1.4/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 229 000 Ft  + Áfa
FORD  Ranger,RANGER XL 2.0 ECOBLUE 170LE 4X4 M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 231 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L2 1.4/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2022. 01.,1 km,11 234 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L2 1.4/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2022. 01.,1 km,11 234 000 Ft  + Áfa
FORD  Transit,TRANSIT L3 1.3/350,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 235 000 Ft  + Áfa
FORD  Transit,TRANSIT L3 1.3/350,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 236 000 Ft  + Áfa
PEUGEOT  308,308 1.2 PureTech Active Pack EAT8 RENDELHETŐ!,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 03.,1 km,11 240 000 Ft
HYUNDAI  i20,I20 1.6 T-GDI N NM5 Limited Beérkező modellek!,Gablini Kft.,(XV. kerület),Márkakereskedő,2023. 01.,0 km,11 244 000 Ft
RENAULT  Arkana,Arkana 1.3 TCe mild Hybrid Techno EDC,Ugrics és Szabó Kft.,(Székesfehérvár),Márkakereskedő,2023. 09.,0 km,11 250 000 Ft
MAZDA  Mazda 3,3 Hatchback 2.0 e-Skyactiv Plus Készletről azonnal vihető!! Led. Ülés + Kormányfűtés! AKÁR 4.99% THM!,CarNet Mirai Kft.,(XI. kerület),Márkakereskedő,2023. 01.,0 km,11 250 000 Ft
FORD  Transit,FORD TRANSIT 2.0 TDCi 350 LWB Trend Billenő platós NHP 2.5% lízinggel,Sándor Service,(Kisújszállás),Márkakereskedő,2021. 07.,1 km,11 250 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend (7 személyes ) L2 - ÁRGARANCIÁVAL! 5% FIX KAMAT!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,3 km,11 261 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend (7 személyes ) L2 - ÁRGARANCIÁVAL! 5% FIX KAMAT!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,3 km,11 261 000 Ft  + Áfa
TOYOTA  Corolla Cross,"Corolla Cross 2.0 Hybrid Comfort e-CVT Készletről elvihető!Akár 4,9% THM!",ICL Kft.,(Mosonmagyaróvár),Márkakereskedő,2023. 07.,1 km,11 265 000 Ft
NISSAN  Townstar,TOWNSTAR 1.3 DIG-T Tekna Készletre érkező! Szürke Metál fényezéssel!,Gablini Kft.,(XV. kerület),Márkakereskedő,2022. 01.,0 km,11 278 900 Ft
KIA  Cee'd,"2023 1.5 T-GDI X-GOLD+AUTOMATA!.KÉKESEZÜST SZÍNBEN KÉSZLETRÕL! THM 9,9%",Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2023. 01.,5 km,11 289 000 Ft
PEUGEOT  3008,3008 1.5 BlueHDi Active Pack EAT8 Paugeot Gablini Budaörs,Gablini Kft.,(Budaörs),Márkakereskedő,2023. 01.,2 km,11 290 000 Ft
ABARTH  500,595 1.4 T-JET 165LE | Készleten,Autócentrum Szabó Csoport,(Székesfehérvár),Márkakereskedő,2023. 01.,1 km,11 290 000 Ft
FORD  Kuga,KUGA 1.5 EcoBoost Freedom Magyarországi! ÁFÁS! 1.TULAJ! HIBÁTLAN!,Hovány Csoport,(Szeged),Márkakereskedő,2022. 07.,5 447 km,11 290 000 Ft
SUZUKI  Vitara,VITARA 1.5 GL+ 4WD 6AGS | Készleten,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 290 000 Ft
ABARTH  500,595 1.4 T-JET 165LE | Készleten,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 290 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Active Rendelhető 2022 modell Hybrid,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2021. 12.,5 km,11 290 000 Ft
PEUGEOT  Expert,EXPERT 2.0 BlueHDi L2 (3 személyes ) Start&Stop készletről azonnal elvihető,CarNet For-Top Kft.,(Győr),Márkakereskedő,2023. 06.,5 km,11 290 300 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 299 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 299 000 Ft  + Áfa
TOYOTA  Yaris,CROSS 1.5 Hybrid Adventure VIP e-CVT TESZTAUTÓ,Super-Automobil Kft.,(IV. kerület),Márkakereskedő,2022. 01.,6 000 km,11 300 000 Ft
TOYOTA  Corolla,"Corolla 1.8 Hybrid Comfort Style Tech e-CVT Azonnal átvehető! Akár 4,9% THM",ICL Kft.,(Győr),Márkakereskedő,2023. 01.,5 km,11 300 000 Ft
TOYOTA  Corolla,"Corolla Sedan 1.8 Hybrid Comfort Style Tech e-CVT Akár 4,9% THM - KÉSZLETRŐL",ICL Kft.,(Mosonmagyaróvár),Márkakereskedő,2023. 05.,1 km,11 300 000 Ft
FORD  Transit,TRANSIT CUSTOM LIMITED L1H1 1.2/3.20 150 M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 300 000 Ft  + Áfa
FORD  Transit,TRANSIT CUSTOM LIMITED L1H1 1.2/3.20 150 M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 300 000 Ft  + Áfa
FORD  Transit,TRANSIT CUSTOM LIMITED L1H1 1.2/3.20 150 M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 300 000 Ft  + Áfa
RENAULT  Master,"Master 2.3 dCi 165 L4H2 3,5t Pack Comfor",ICL Kft.,(Győr),Márkakereskedő,2023. 01.,0 km,11 300 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 350 LWB Trend KÉSZLETRŐL! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,5 km,11 311 000 Ft  + Áfa
MAZDA  Mazda 3,HB e-Skyactiv G150 Exclusive Line MT - KÉSZLETEN - 2024-es modell,Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2023. 01.,10 km,11 327 800 Ft
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend BEÉRKEZÉS ALATT! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,5 km,11 329 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend BEÉRKEZÉS ALATT! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,5 km,11 329 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend BEÉRKEZÉS ALATT! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,5 km,11 329 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend BEÉRKEZÉS ALATT! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,5 km,11 329 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend BEÉRKEZŐ! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,5 km,11 329 000 Ft  + Áfa
FORD  Transit,TRANSIT 2.0 TDCi 310 MWB Trend BEÉRKEZÉS ALATT! 5%-os FINANSZÍROZÁSSAL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,5 km,11 329 000 Ft  + Áfa
CITROEN  Jumpy,JUMPY 1.5 BlueHDi L2 (3 személyes ) Club EURO 6.3 2+2 ÉV GARANCIA akár 300 000 km-ig,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 330 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
FIAT  Ducato,DUCATO DUPLAKABINOS LWB 140LE,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 340 000 Ft  + Áfa
VOLKSWAGEN  Transporter,TRANSPORTER 2.0 TDi T6.1 RT (3 személyes ),Spirit Auto Kft.,(Zalaegerszeg),Márkakereskedő,2023. 01.,8 km,11 349 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 349 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 349 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 349 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 349 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 349 000 Ft  + Áfa
NISSAN  Townstar,TOWNSTAR 1.3 DIG-T Tekna AZ ÚJ EGYTERŰ TOWNSTAR COMBI 16'-os könnyűfém keréktárcsák 0% THM!,Nissan Centrum,(XI. kerület),Márkakereskedő,2023. 01.,5 km,11 355 100 Ft
NISSAN  Townstar,TOWNSTAR 1.3 DIG-T Tekna AZ ÚJ EGYTERŰ TOWNSTAR COMBI 16'-os könnyűfém keréktárcsák 0% THM!,Nissan Centrum,(XI. kerület),Márkakereskedő,2023. 01.,5 km,11 355 100 Ft
SUZUKI  Vitara,VITARA 1.5 GLX 6AGS 4WD Panorámatető RENDELHETŐ,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 360 000 Ft
SUZUKI  Vitara,VITARA 1.5 GLX 6AGS 4WD Panorámatető RENDELHETŐ,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 360 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.4 D-4D 4x4 Double Active TSS 146.478 km! magyar. 1 tulaj. szervizkönyv. ÁFA-s számla,Miamax Autókereskedés,(Szombathely),Minősített Prémium kereskedő,2019. 12.,146 478 km,11 365 230 Ft
PEUGEOT  Expert,EXPERT 1.5 BlueHDi L2,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 01.,12 km,11 370 000 Ft  + Áfa
PEUGEOT  Expert,EXPERT 1.5 BlueHDi L2 (3 személyes ) KÉSZLETKISÖPRÉS!!! Egyedi kedvezmény! SZÉCHENYI LÍZING FIX 5% KAMATTAL!!,Hovány Csoport,(Békéscsaba),Márkakereskedő,2023. 01.,12 km,11 370 000 Ft  + Áfa
PEUGEOT  308,308 SW 1.2 PureTech Allure Pack EAT8 Budaörsi Gablini Szalon,Gablini Kft.,(Budaörs),Márkakereskedő,2023. 01.,3 km,11 370 000 Ft
TOYOTA  Yaris Cross,YARIS CROSS GR Sport RENDELHETŐ!,Toyota Linartech,(Kecskemét),Márkakereskedő,2023. 01.,0 km,11 370 000 Ft
MERCEDES-BENZ  Citan,CITAN 112 CDI A2 KÉSZLETRŐL. AZONNAL ELVIHETŐ!,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 05.,5 km,11 370 900 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 379 000 Ft  + Áfa
FORD  Transit,TRANSIT FWD TREND L3 1.3/3.50 130 M6 LDT,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 379 000 Ft  + Áfa
PEUGEOT  5008,5008 1.2 PureTech Active Pack (7 személyes ) Budaörsi készleten,Gablini Kft.,(Budaörs),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata! SZEGEDI KÉSZLETEN!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata! SZEGEDI KÉSZLETEN!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata 7 kombi raktári modell,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata 7 kombi KÉSZLETES MODELL,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata 7 kombi készletről elérhető modellek,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata 7 kombi KÉSZLETRŐL,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata 7 kombi magyar készleten,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV ST-Line DCT 155 LE Automata 7 kombi RAKTÁRRÓL,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 390 000 Ft
FIAT  Ducato,Ducato 2.2 Mjet LH2 3.5 t  KÉSZLETRŐL! FIAT motor!,Kovács Autó Siófok,(Siófok),Márkakereskedő,2023. 06.,4 km,11 390 000 Ft  + Áfa
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Titanium Design KÉSZLETRŐL AZONNAL ELVIHETŐ!,CarNet Auto-Fort Kft.,(XXI. kerület),Márkakereskedő,2022. 01.,2 km,11 390 000 Ft
MAZDA  CX-30,e-Skyactiv X186 GT Plus KÉSZLETEN!,Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2023. 07.,10 km,11 390 000 Ft
MAZDA  CX-30,e-SKYACTIV G 150ps 6MT FWD Exclusive-line 2024-es modell KÉSZLETEN!,Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2023. 01.,10 km,11 390 800 Ft
PEUGEOT  Boxer,BOXER 2.2 BlueHDI 300 FT L2H1 SZÉCHENYI LÍZING FIX 5% KAMATTAL! RENDELHETŐ!,CarNet Auto-Fort Kft.,(XIII. kerület),Márkakereskedő,2023. 07.,1 km,11 391 900 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2022. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 392 000 Ft  + Áfa
BMW  1-es sorozat,i M Sport DKG BMW GYŐR! GARANCIA! ÁFÁS!,Leier Autó Kft.,(Győr),Márkakereskedő,2020. 01.,58 551 km,11 399 000 Ft
PEUGEOT  Boxer,BOXER 2.2 BlueHDI 350 FT Heavy L4H3 Premium Budaörsi Gablini Szalon,Gablini Kft.,(Budaörs),Márkakereskedő,2023. 01.,3 km,11 399 000 Ft  + Áfa
RENAULT  Arkana,Arkana 1.3 TCe mHybrid Techno EDC Készletről azonnal elérhető. THM 3.9 %,ICL Kft.,(Mosonmagyaróvár),Márkakereskedő,2023. 06.,1 km,11 399 000 Ft
RENAULT  Arkana,ARKANA equilibre Mild hybrid 140EDC,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 399 000 Ft
RENAULT  Arkana,ARKANA equilibre Mild hybrid 140EDC,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 399 000 Ft
SKODA  Karoq,1.5 TSI ACT Ambition KÉSZLETRŐL AZONNAL!,Palota Automobil Kft.,(IV. kerület),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft
FORD  Transit,TRANSIT CUSTOM LIMITED L2H1 1.1/3.20 150 M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft  + Áfa
FORD  Transit,TRANSIT CUSTOM LIMITED L2H1 1.1/3.20 150 M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft  + Áfa
FORD  Transit,TRANSIT CUSTOM LIMITED L2H1 1.1/3.20 150 M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft  + Áfa
FORD  Kuga,KUGA FREEDOM 1.5L ECOBOOST 150LE M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft
FORD  Kuga,KUGA FREEDOM 1.5L ECOBOOST 150LE M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft
FORD  Kuga,KUGA FREEDOM 1.5L ECOBOOST 150LE M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft
FORD  Kuga,KUGA FREEDOM 1.5L ECOBOOST 150LE M6 FWD,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 400 000 Ft
FORD  Transit,Transit 2.0 TDCi 350 LWB Trend ,Sándor Service,(Kisújszállás),Márkakereskedő,2021. 09.,1 km,11 400 000 Ft  + Áfa
FORD  Transit,Transit 2.0 TDCi 350 LWB Trend ,Sándor Service,(Kisújszállás),Márkakereskedő,2021. 09.,1 km,11 400 000 Ft  + Áfa
MAZDA  Mazda 3,HB e-Skyactiv G150 Exclusive Line MT - 2024-es modell KÉSZLETEN!,Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2023. 01.,10 km,11 407 800 Ft
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 419 000 Ft  + Áfa
FORD  Transit,TRANSIT TREND L3 1.3/3.50 130 LDT M6,Autócentrum Szabó Csoport,(Érd),Márkakereskedő,2023. 01.,1 km,11 419 000 Ft  + Áfa
FORD  Ranger,RANGER 2.0 TDCi EcoBlue 4x4 XLT 170 LE manuális KÉSZLETRŐL!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,1 km,11 427 000 Ft  + Áfa
FIAT  Ducato,DUCATO 2.2 Mjet MH1 3.5 t 10m3. jól felszerelt. azonnal. készletről akár Kavoszos finanszírozással,CarNet Autóház Kft.,(Budaörs),Márkakereskedő,2023. 07.,2 km,11 428 730 Ft  + Áfa
PEUGEOT  308,308 1.2 PureTech Allure RENDELHETŐ! Árgaranciával!,Hovány Csoport,(Békéscsaba),Márkakereskedő,2023. 01.,7 km,11 430 000 Ft
PEUGEOT  308,308 SW 1.5 BlueHDi Active Pack,CarNet For-Top Kft.,(Győr),Márkakereskedő,2022. 04.,0 km,11 430 000 Ft
VOLVO  XC40,XC40 1.5 [T2] Essential Geartronic Gyártásból! - SZUPER ÁR!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 434 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Titanium Kecskeméten a Hoványnál! Készleten. azonnal elvihető!,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 01.,1 km,11 440 000 Ft
PEUGEOT  Expert,EXPERT 1.5 BlueHDi L2 (3 személyes ) Start&Stop SZÉCHENYI LÍZING FIX 5% KAMATTAL!!! ÁRGARANCIÁVAL!,Hovány Csoport,(Békéscsaba),Márkakereskedő,2023. 01.,12 km,11 440 000 Ft  + Áfa
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Titanium KÉSZLETEN!!,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 01.,1 km,11 440 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Titanium KÉSZLETEN!!,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 01.,1 km,11 440 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Titanium !RENDELHETŐ!Titanium / Start& Stop rendszerrel,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 01.,1 km,11 440 000 Ft
FORD  Focus,FOCUS 1.0 EcoBoost mHEV Titanium KÉSZLETEN!!,Hovány Csoport,(Kecskemét),Márkakereskedő,2023. 01.,1 km,11 440 000 Ft
VOLKSWAGEN  Golf,GOLF VII 2.0 TSI GTI DSG TCR Limited Edition 45.291 km! márkaszervizben szervizelt. újszerű állapotban,Miamax Autókereskedés,(Szombathely),Minősített Prémium kereskedő,2019. 05.,45 291 km,11 449 000 Ft
CITROEN  Jumpy,JUMPY 1.5 BlueHDi L2 (3 személyes ) Start&Stop Club EURO 6.3 2+2 ÉV GARANCIA akár 300 000 km-ig,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 449 000 Ft  + Áfa
SEAT  Ateca,Ateca 1.5 TSI FR DSG ,Seat-Cupra Szabó,(XVI. kerület),Márkakereskedő,2023. 08.,8 km,11 450 000 Ft
TOYOTA  C-HR,C-HR 1.8 Hybrid Executive MY21 e-CVT ,Hering Autóház Kft.,(Szolnok),Márkakereskedő,2023. 05.,1 150 km,11 455 000 Ft
PEUGEOT  3008,3008 1.5 BlueHDi Active Pack EAT8 Paugeot Gablini Budaörs,Gablini Kft.,(Budaörs),Márkakereskedő,2023. 01.,2 km,11 460 000 Ft
CITROEN  C4 X,C4 X 1.2 PureTech Shine Plus EAT8 Azonnal több darabos készlet!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,0 km,11 460 000 Ft
MAZDA  CX-30,CX-30 2.0 e-Skyactive Plus (Automata),CarNet Riegler Kft.,(Győr),Márkakereskedő,2023. 01.,0 km,11 466 800 Ft
