brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
VOLVO  XC60,XC60 2.0 D [D3] Kinetic FWD,Magánszemély,(Nyíregyháza),Minősített magánszemély,2012. 11.,337 762 km,3 990 000 Ft
DACIA  Duster,Duster 1.6 Arctic,Magánszemély,(Makó),Minősített magánszemély,2017. 11.,45 000 km,4 200 000 Ft
VOLVO  V60,V60 2.0 D [D3] Kinetic,Magánszemély,(Zalaegerszeg),Minősített magánszemély,2015. 06.,250 500 km,4 450 000 Ft
TOYOTA  Auris,Auris Touring Sports 1.8 HSD Active Aut.,Magánszemély,(Debrecen),Minősített magánszemély,2013. 11.,226 033 km,4 390 000 Ft
FORD  Focus,Focus 1.0 EcoBoost Business,Magánszemély,(Dunakeszi),Minősített magánszemély,2019. 03.,124 680 km,4 699 000 Ft
OPEL  Astra,Astra 1.4 T Innovation,Magánszemély,(Karancsalja),Minősített magánszemély,2016. 01.,186 000 km,4 299 000 Ft
CITROEN  C4 Grand Picasso,C4 Grand Picasso 2.0 BlueHDi Intensive (7 sz.),Magánszemély,(Karancskeszi),Minősített magánszemély,2015. 01.,170 100 km,4 790 000 Ft
VOLVO  V60,D2,Magánszemély,(XVII. kerület),Minősített magánszemély,2018. 01.,193 000 km,4 850 000 Ft
FORD  Focus,Focus 1.5 EcoBlue Titanium,Magánszemély,(XI. kerület),Minősített magánszemély,2018. 01.,119 900 km,4 850 000 Ft
BMW  3-as sorozat,318d Advantage,Magánszemély,(Herceghalom),Minősített magánszemély,2016. 08.,207 200 km,4 890 000 Ft
OPEL  Crossland X,Crossland X 1.2 T Start-Stop Enjoy,Magánszemély,(X. kerület),Minősített magánszemély,2018. 12.,148 000 km,4 900 000 Ft
VOLKSWAGEN  Golf,Golf 1.6 TDI BMT Comfortline,Magánszemély,(Kiskunfélegyháza),Minősített magánszemély,2015. 09.,119 000 km,4 900 000 Ft
SUZUKI  SX4 S-Cross,SX4 S-Cross 1.6 GL Plusz,Magánszemély,(Szolnok),Minősített magánszemély,2015. 09.,115 777 km,4 980 000 Ft
MERCEDES-BENZ  C-osztály,C 220 T BlueTEC/d,Magánszemély,(Vecsés),Minősített magánszemély,2015. 05.,307 000 km,5 050 000 Ft
KIA  Optima,Optima 1.7 CRDI EX Limited,Magánszemély,(Siófok),Minősített magánszemély,2016. 04.,249 350 km,5 190 000 Ft
NISSAN  Juke,Juke 1.6 DIG-T N-Connecta 4WD Xtronic,Magánszemély,(Herceghalom),Minősített magánszemély,2017. 01.,155 500 km,5 100 000 Ft
TOYOTA  Corolla,Corolla Sedan 1.6 Active Aut.,Magánszemély,(Debrecen),Minősített magánszemély,2014. 11.,160 098 km,5 150 000 Ft
SUZUKI  Vitara,Vitara 1.6 GL+,Magánszemély,(Dunaharaszti),Minősített magánszemély,2016. 10.,94 848 km,5 149 000 Ft
FORD  S-Max,S-Max 2.0 TDCi Trend,Magánszemély,(XVI. kerület),Minősített magánszemély,2017. 06.,192 060 km,5 450 000 Ft
