infos
112 170 km,110 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
147 145 km,114 LE,1598 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
177 255 km,75 LE,1968 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
177 255 km,75 LE,1968 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,2 fő,Manuális
164 142 km,136 LE,1598 cm3,Dízel,Egyterű,Használt,Eladó,5 ajtós,7 fő,Manuális
101 800 km,131 LE,1199 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
55 000 km,82 LE,Elektr.,Ferdehátú,Használt,Eladó,5 ajtós,4 fő,Fokozatmentes
122 000 km,116 LE,1598 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
178 981 km,120 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,3 fő,Manuális
84 182 km,99 LE,1560 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
178 981 km,120 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,3 fő,Manuális
193 300 km,120 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,3 fő,Manuális
167 682 km,120 LE,1598 cm3,Dízel,Kishaszon,Eladó,4 ajtós,3 fő,Manuális
123 850 km,102 LE,1598 cm3,Benzin,Egyterű,Használt,Eladó,5 ajtós,5 fő,Manuális
157 791 km,124 LE,1998 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
177 215 km,150 LE,1499 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
58 687 km,88 LE,1398 cm3,Benzin,Ferdehátú,Használt,Eladó,3 ajtós,4 fő,Manuális
153 364 km,120 LE,1598 cm3,Dízel,Kishaszon,Használt,Eladó,4 ajtós,3 fő,Manuális
140 080 km,148 LE,1399 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
110 747 km,115 LE,1598 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
168 242 km,136 LE,1598 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
62 704 km,99 LE,1560 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
92 685 km,75 LE,1248 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
131 823 km,110 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
53 455 km,123 LE,1197 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
146 157 km,99 LE,1329 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
146 157 km,99 LE,1329 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
141 521 km,136 LE,1582 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
69 000 km,122 LE,1598 cm3,Benzin,Ferdehátú,Használt,Eladó,3 ajtós,4 fő,Manuális
180 000 km,122 LE,1496 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
40 304 km,95 LE,1368 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
181 700 km,125 LE,2299 cm3,Dízel,Kishaszon,Használt,Eladó,2 ajtós,3 fő,Manuális
111 000 km,131 LE,1686 cm3,Dízel,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
133 123 km,99 LE,1368 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
35 454 km,72 LE,1149 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
177 289 km,125 LE,1395 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
177 289 km,125 LE,1395 cm3,Benzin,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
98 000 km,125 LE,999 cm3,Benzin,Crossover,Használt,Eladó,5 ajtós,5 fő,Manuális
114 856 km,115 LE,999 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
45 053 km,71 LE,999 cm3,Benzin,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
173 056 km,105 LE,1598 cm3,Dízel,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
168 228 km,136 LE,1598 cm3,Dízel,Nincs adat a kivitelről,Használt,Eladó,5 ajtós,5 fő,Manuális
132 700 km,114 LE,1560 cm3,Dízel,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
149 147 km,120 LE,1560 cm3,Dízel,Lépcsőshátú,Használt,Eladó,4 ajtós,5 fő,Manuális
141 859 km,110 LE,1461 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
156 925 km,158 LE,1498 cm3,Benzin,Ferdehátú,Használt,Eladó,5 ajtós,5 fő,Manuális
176 300 km,102 LE,1968 cm3,Dízel,Kishaszon,Használt,Eladó,5 ajtós,2 fő,Manuális
185 000 km,115 LE,1598 cm3,Dízel,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
64 309 km,100 LE,1396 cm3,Benzin,Kombi,Használt,Eladó,5 ajtós,5 fő,Manuális
