	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
12486	PEUGEOT  206	SW	Magánszemély	(Csömend)	Minősített magánszemély	2004. 02.	219 864 km	700 000 Ft	219 864 km	89 LE	1997 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12487	VOLKSWAGEN  Polo	Polo 1.4 60 Comfortline	Magánszemély	(Kecskemét)	Minősített magánszemély	2000. 12.	234 000 km	740 000 Ft	234 000 km	59 LE	1390 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12488	HONDA  Jazz	Jazz 1.2 S	Magánszemély	(Hódmezővásárhely)	Minősített magánszemély	2004. 11.	276 000 km	750 000 Ft	276 000 km	77 LE	1245 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12489	SUZUKI  Wagon R+	Wagon R+ 1.0 GL (5 sz.)	Magánszemély	(Kékkút)	Nem minősített eladó	2003. 01.	26 000 km	780 000 Ft	26 000 km	52 LE	993 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12490	SMART  Fortwo	Fortwo 0.7 City Coupe Pulse Softip	Magánszemély	(Gyömrő)	Minősített magánszemély	2004. 10.	258 950 km	790 000 Ft	258 950 km	60 LE	698 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	2 fő	Automatizált
12491	HONDA  Civic	Civic 1.7 CTDi LS	Magánszemély	(Gellénháza)	Nem minősített eladó	2004. 02.	347 320 km	799 000 Ft	347 320 km	99 LE	1686 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12492	OPEL  Meriva	Meriva 1.4 Enjoy	Magánszemély	(Úny)	Minősített magánszemély	2004. 10.	151 000 km	799 000 Ft	151 000 km	89 LE	1364 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12493	VOLVO  S60	S60 2.4 D Summum	Magánszemély	(Délegyháza)	Nem minősített eladó	2005. 09.	435 879 km	800 000 Ft	435 879 km	129 LE	2401 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12494	OPEL  Meriva	Meriva 1.7 DTI Enjoy	Magánszemély	(Lesenceistvánd)	Minősített magánszemély	2003. 08.	183 102 km	800 000 Ft	183 102 km	74 LE	1686 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12495	SKODA  Octavia	Octavia 1.6 Tour	Magánszemély	(Siófok)	Minősített magánszemély	2006. 01.	318 000 km	700 000 Ft	318 000 km	101 LE	1595 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12496	PEUGEOT  307	307 Break 1.6 Profil	Magánszemély	(XIX. kerület)	Minősített magánszemély	2002. 05.	297 300 km	800 000 Ft	297 300 km	107 LE	1587 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12497	KIA  Picanto	Picanto 1.0 LX Cool	Magánszemély	(Szolnok)	Nem minősített eladó	2007. 03.	149 147 km	828 000 Ft	149 147 km	62 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12498	RENAULT  Mégane	Mégane 1.5 dCi 105 DPF Dynamique	Magánszemély	(Kőszeg)	Minősített magánszemély	2008. 07.	364 959 km	849 000 Ft	364 959 km	105 LE	1461 cm3	Dízel	Lépcsőshátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12499	BMW  3-as sorozat	318i 143LE benzines automata 	Magánszemély	(Zalaegerszeg)	Minősített magánszemély	2004. 04.	304 000 km	850 000 Ft	304 000 km	143 LE	1995 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Automata
12500	SKODA  Octavia	Octavia 1.9 PD TDi Classic	Magánszemély	(Fonyód)	Minősített magánszemély	2002. 01.	372 000 km	850 000 Ft	372 000 km	103 LE	1896 cm3	Dízel	Lépcsőshátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12501	RENAULT  Mégane	Mégane Limousine 1.4 Authentique Plus	Magánszemély	(Vecsés)	Nem minősített eladó	2004. 11.	230 000 km	850 000 Ft	230 000 km	97 LE	1390 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12502	RENAULT  Mégane	Mégane 1.5 dCi Expression	Magánszemély	(Ballószög)	Minősített magánszemély	2008. 06.	193 000 km	850 000 Ft	193 000 km	105 LE	1461 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12503	PEUGEOT  207	207 1.4 Trendy	Magánszemély	(Szeged)	Nem minősített eladó	2009. 07.	165 965 km	899 000 Ft	165 965 km	75 LE	1360 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
12504	SKODA  Fabia	Fabia 1.2 12V Classic	Magánszemély	(Sopron)	Minősített magánszemély	2006. 04.	172 200 km	800 000 Ft	172 200 km	68 LE	1198 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12505	RENAULT  Mégane	Mégane Limousine 1.6 Expression	Magánszemély	(Érd)	Minősített magánszemély	2007. 10.	275 000 km	900 000 Ft	275 000 km	112 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12506	FORD  Fiesta	Fiesta 1.4 Ghia	Magánszemély	(XX. kerület)	Minősített magánszemély	2006. 04.	289 590 km	900 000 Ft	289 590 km	78 LE	1388 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12507	OPEL  Astra	G-CC 1.2 16v	Magánszemély	(Sárospatak)	Minősített magánszemély	2003. 03.	48 063 km	900 000 Ft	48 063 km	75 LE	1199 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12508	FORD  Focus	Focus 1.6 Collection Aut.	Magánszemély	(Almásfüzitő)	Nem minősített eladó	2006. 01.	227 000 km	950 000 Ft	227 000 km	99 LE	1596 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12509	NISSAN  Primera	Primera 1.8 Acenta	Magánszemély	(Nagykovácsi)	Minősített magánszemély	2004. 05.	321 000 km	950 000 Ft	321 000 km	114 LE	1769 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12510	ROVER  Rover 75	75 2.0 CDTi Club	Magánszemély	(Pécs)	Nem minősített eladó	2005. 05.	263 173 km	960 000 Ft	263 173 km	129 LE	1951 cm3	Dízel	Kupé	Használt	Eladó	4 ajtós	5 fő	Manuális
12511	VOLKSWAGEN  Transporter	Transporter 2.4 7DE 1F2 F	Magánszemély	(Gyula)	Minősített magánszemély	1996. 09.	305 000 km	960 000 Ft  + Áfa	305 000 km	77 LE	2370 cm3	Dízel	Kishaszon	Használt	Eladó	2 ajtós	3 fő	Manuális
12512	MAZDA  Mazda 6	Mazda 6 1.8 CE	Magánszemély	(Sopron)	Minősített magánszemély	2007. 02.	232 000 km	990 000 Ft	232 000 km	118 LE	1798 cm3	Benzin	Kombi	Használt	Eladó	4 ajtós	5 fő	Manuális
12513	MERCEDES-BENZ  A-osztály	A 150 Classic	Magánszemély	(Veszprém)	Minősített magánszemély	2004. 12.	189 000 km	990 000 Ft	189 000 km	94 LE	1498 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12514	AUDI  A3	A3 1.6 Ambition	Magánszemély	(Szolnok)	Minősített magánszemély	2002. 04.	272 138 km	990 000 Ft	272 138 km	102 LE	1595 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
12515	TOYOTA  Previa	Previa 2.0 D-4D	Magánszemély	(Hosszúpályi)	Minősített magánszemély	2002. 03.	370 000 km	999 000 Ft	370 000 km	114 LE	1995 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
12516	FORD  Focus	Focus 1.8 TDCi Trend	Magánszemély	(XIV. kerület)	Nem minősített eladó	2007. 01.	312 000 km	999 000 Ft	312 000 km	115 LE	1753 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12517	FORD  C-Max	Focus C-Max 1.6 Trend	Magánszemély	(Székesfehérvár)	Nem minősített eladó	2004. 07.	514 000 km	1 000 000 Ft	514 000 km	99 LE	1596 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12518	VOLVO  S80	S80 2.9 Executive Aut.	Magánszemély	(Bocska)	Minősített magánszemély	2001. 01.	326 000 km	1 000 000 Ft	326 000 km	197 LE	2922 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	4 fő	Automata
12519	ALFA ROMEO  147	Alfa 147 1.6 T. Spark Distinctive	Magánszemély	(XIV. kerület)	Nem minősített eladó	2006. 11.	232 000 km	1 049 000 Ft	232 000 km	118 LE	1598 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12520	FORD  Galaxy	Galaxy 1.9 TDI Trend	Magánszemély	(Pápa)	Minősített magánszemély	2001. 06.	358 890 km	1 050 000 Ft	358 890 km	129 LE	1896 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
12521	OPEL  Vectra	Vectra Caravan 1.9 CDTI Essentia	Magánszemély	(Fegyvernek)	Minősített magánszemély	2006. 02.	264 000 km	1 090 000 Ft	264 000 km	99 LE	1910 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12522	CITROEN  C5	C5 Kombi 2.2 HDi Exclusive	Magánszemély	(Eger)	Minősített magánszemély	2007. 01.	324 000 km	1 090 000 Ft	324 000 km	168 LE	2179 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12523	OPEL  Corsa	Corsa 1.2 Silverline	Magánszemély	(Orosháza)	Minősített magánszemély	2006. 04.	122 414 km	1 100 000 Ft	122 414 km	80 LE	1229 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12524	MINI  Mini	Mini Cooper 1.6	Magánszemély	(XIV. kerület)	Minősített magánszemély	2002. 12.	295 000 km	1 100 000 Ft	295 000 km	114 LE	1598 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
12525	VOLVO  V50	V50 2.4 Momentum	Magánszemély	(Mohács)	Minősített magánszemély	2004. 09.	244 000 km	1 150 000 Ft	244 000 km	138 LE	2435 cm3	Benzin/Gáz	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12526	RENAULT  Scénic	Scénic 1.4 Authentique	Magánszemély	(Vác)	Minősített magánszemély	2007. 05.	253 477 km	1 180 000 Ft	253 477 km	97 LE	1390 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12527	FORD  Focus	Focus 1.8 FFV Ghia	Magánszemély	(XVI. kerület)	Minősített magánszemély	2007. 03.	200 000 km	1 190 000 Ft	200 000 km	125 LE	1798 cm3	Egyéb	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12528	PEUGEOT  407	407 SW 2.0 HDi Symbole	Magánszemély	(Sülysáp)	Minősített magánszemély	2006. 06.	325 000 km	1 199 000 Ft	325 000 km	134 LE	1997 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12529	VOLKSWAGEN  Golf	Golf 1.6 Atlanta	Magánszemély	(Komárom)	Nem minősített eladó	2008. 04.	268 000 km	1 199 000 Ft	268 000 km	101 LE	1595 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12530	OPEL  Astra	Astra 1.6 Enjoy	Magánszemély	(Szigethalom)	Minősített magánszemély	2010. 06.	355 700 km	1 200 000 Ft	355 700 km	114 LE	1598 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12531	VOLVO  S40	S40 1.8 Elegance	Magánszemély	(Mátészalka)	Minősített magánszemély	2001. 07.	163 700 km	1 200 000 Ft	163 700 km	121 LE	1783 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12532	OPEL  Meriva	Meriva 1.7 CDTI Cosmo	Magánszemély	(Veszprém)	Minősített magánszemély	2005. 01.	266 900 km	1 200 000 Ft	266 900 km	99 LE	1686 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12533	BMW  3-as sorozat	316i	Magánszemély	(Gyöngyöspata)	Minősített magánszemély	2004. 01.	299 000 km	1 250 000 Ft	299 000 km	116 LE	1796 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12534	VOLKSWAGEN  Passat	Passat 1.8 5V Turbo Comfortline	Magánszemély	(XIV. kerület)	Minősített magánszemély	2002. 02.	357 000 km	1 250 000 Ft	357 000 km	150 LE	1781 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12535	RENAULT  Modus	Modus 1.5 dCi Ole	Magánszemély	(X. kerület)	Minősített magánszemély	2006. 06.	220 000 km	1 267 460 Ft	220 000 km	64 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	5 fő	Manuális
12536	VOLKSWAGEN  Passat	Passat 1.9 PD TDI Highline	Magánszemély	(Nadap)	Minősített magánszemély	2002. 08.	342 000 km	1 290 000 Ft	342 000 km	101 LE	1896 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12537	SUZUKI  Swift	Swift 1.3 GC	Magánszemély	(Iklad)	Nem minősített eladó	2005. 04.	97 663 km	1 090 000 Ft	97 663 km	91 LE	1328 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12538	SEAT  Leon	Leon 1.9 PD TDI Sports Limited	Magánszemély	(Érd)	Minősített magánszemély	2007. 06.	445 486 km	1 290 000 Ft	445 486 km	103 LE	1896 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12539	HONDA  Jazz	Jazz 1.4 ES	Magánszemély	(Lovasberény)	Nem minősített eladó	2003. 06.	123 669 km	1 290 000 Ft	123 669 km	82 LE	1339 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12540	FORD  Fusion	Fresh	Magánszemély	(Gyöngyös)	Minősített magánszemély	2008. 04.	271 000 km	1 295 000 Ft	271 000 km	80 LE	1388 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12541	SUZUKI  Ignis	Ignis 1.3 GS AC	Magánszemély	(Eger)	Nem minősített eladó	2004. 06.	83 490 km	1 199 000 Ft	83 490 km	93 LE	1328 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12542	SUZUKI  Swift	Swift 1.6 SPORT	Magánszemély	(Gyömöre)	Minősített magánszemély	2007. 01.	351 517 km	1 300 000 Ft	351 517 km	123 LE	1586 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
12543	MERCEDES-BENZ  CLK-osztály	CLK 200 Elegance	Magánszemély	(Tokod)	Nem minősített eladó	1999. 05.	310 000 km	1 300 000 Ft	310 000 km	134 LE	1998 cm3	Benzin	Kupé	Használt	Eladó	2 ajtós	4 fő	Manuális
12544	LAND ROVER  Freelander	Freelander 1.8 E	Magánszemély	(Tevel)	Nem minősített eladó	2004. 08.	125 000 km	1 300 000 Ft	125 000 km	115 LE	1796 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12545	SKODA  Octavia	Octavia 1.4 Tour Easy	Magánszemély	(Nagykanizsa)	Nem minősített eladó	2007. 11.	162 959 km	1 350 000 Ft	162 959 km	74 LE	1390 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12546	RENAULT  Mégane	Mégane 1.5 dCi 85 DPF Extreme	Magánszemély	(XVII. kerület)	Minősített magánszemély	2008. 05.	239 000 km	1 350 000 Ft	239 000 km	105 LE	1461 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12547	SKODA  Superb	Superb 1.9 PD TDi Greenline	Magánszemély	(Őrbottyán)	Minősített magánszemély	2009. 07.	447 170 km	1 350 000 Ft	447 170 km	103 LE	1896 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12816	VOLKSWAGEN  Golf	Golf 1.5 TSI ACT Highline DSG	Magánszemély	(Csomád)	Nem minősített eladó	2018. 06.	215 400 km	5 650 000 Ft	215 400 km	148 LE	1498 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12817	MERCEDES-BENZ  C-osztály	C 350 4Matic Avantgarde Aut.	Magánszemély	(Dunakeszi)	Minősített magánszemély	2008. 04.	248 100 km	5 699 000 Ft	248 100 km	272 LE	3498 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
12818	VOLVO  XC60	XC60 2.4 D [D5] R-Ocean Race Geartronic	Magánszemély	(Miskolc)	Minősített magánszemély	2012. 01.	225 100 km	5 700 000 Ft	225 100 km	212 LE	2400 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12819	BMW  3-as sorozat	316i	Magánszemély	(Szeged)	Minősített magánszemély	2015. 07.	115 000 km	5 750 000 Ft	115 000 km	134 LE	1598 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12820	SUZUKI  Vitara	Vitara 1.6 GL 4WD	Magánszemély	(XIV. kerület)	Minősített magánszemély	2017. 05.	86 400 km	5 750 000 Ft	86 400 km	118 LE	1586 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12821	FORD  Kuga	Kuga 1.5 EcoBoost Business Technology	Magánszemély	(XXI. kerület)	Minősített magánszemély	2018. 01.	132 000 km	5 790 000 Ft	132 000 km	148 LE	1498 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12822	HYUNDAI  i30	i30 1.4 T-GDi Comfort	Magánszemély	(Gyód)	Nem minősített eladó	2017. 12.	119 000 km	5 799 000 Ft	119 000 km	140 LE	1353 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12823	NISSAN  Qashqai	Qashqai 1.2 DIG-T Acenta EURO6	Magánszemély	(Budaörs)	Minősített magánszemély	2017. 08.	57 000 km	5 799 000 Ft	57 000 km	114 LE	1197 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12824	PEUGEOT  3008	3008 1.6 THP GT Line EAT6	Magánszemély	(Tiszaszőlős)	Minősített magánszemély	2018. 06.	204 000 km	5 800 000 Ft	204 000 km	162 LE	1598 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12825	AUDI  A6	Avant	Magánszemély	(XII. kerület)	Minősített magánszemély	2014. 03.	273 000 km	5 800 000 Ft	273 000 km	204 LE	2998 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
12826	TOYOTA  Auris	Auris Touring Sports 1.6 D-4D Active MY17 Comfort	Magánszemély	(XXI. kerület)	Minősített magánszemély	2018. 01.	87 000 km	5 800 000 Ft	87 000 km	110 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12827	VOLKSWAGEN  Golf	Golf 1.6 TDI BMT SCR Comfortline	Magánszemély	(IV. kerület)	Minősített magánszemély	2019. 06.	110 008 km	5 465 000 Ft	110 008 km	114 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12828	HONDA  CR-V	CR-V 2.2 i-DTEC Exe	Magánszemély	(Székesfehérvár)	Minősített magánszemély	2013. 12.	170 000 km	5 890 000 Ft	170 000 km	148 LE	2199 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12829	HYUNDAI  i30	i30 1.4 MPi GO!	Magánszemély	(Levelek)	Minősített magánszemély	2018. 05.	62 600 km	5 900 000 Ft	62 600 km	99 LE	1368 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12830	TOYOTA  Land Cruiser	Land Cruiser 3.0 D Executive	Magánszemély	(Diósd)	Minősített magánszemély	2008. 10.	224 000 km	5 900 000 Ft	224 000 km	170 LE	2982 cm3	Dízel	Terepjáró	Használt	Eladó	5 ajtós	8 fő	Manuális
12831	RENAULT  Captur	Captur 0.9 TCe Energy Intens	Magánszemély	(Szolnok)	Minősített magánszemély	2019. 12.	42 000 km	5 950 000 Ft	42 000 km	89 LE	898 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12832	AUDI  A6	A6 3.0 V6 TDI DPF quattro S-tronic	Magánszemély	(Veszprém)	Nem minősített eladó	2012. 08.	3 840 km	4 879 000 Ft	3 840 km	204 LE	2967 cm3	Dízel	Kombi	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12833	AUDI  A3	A3 Limousine 2.0 TDI Ambiente	Magánszemély	(VII. kerület)	Minősített magánszemély	2014. 09.	138 000 km	5 990 000 Ft	138 000 km	148 LE	1968 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
12834	BMW  3-as sorozat	320d xDrive	Magánszemély	(Mór)	Nem minősített eladó	2016. 12.	215 000 km	5 999 000 Ft	215 000 km	188 LE	1995 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12835	CITROEN  C4 Grand Picasso	1.2 PureTech Live S&S E6.3 (7 személyes)	Magánszemély	(Gyöngyöstarján)	Minősített magánszemély	2020. 03.	69 999 km	5 999 999 Ft	69 999 km	130 LE	1199 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
12836	HYUNDAI  i40	i40 1.7 CRDi HP Premium	Magánszemély	(Biharnagybajom)	Minősített magánszemély	2017. 05.	102 900 km	5 900 000 Ft	102 900 km	138 LE	1685 cm3	Dízel	Kombi	Használt	Eladó	4 ajtós	5 fő	Manuális
12837	VOLKSWAGEN  Golf	Golf 1.6 TDI BMT Comfortline DSG	Magánszemély	(Mátraballa)	Minősített magánszemély	2017. 07.	139 017 km	6 000 000 Ft	139 017 km	114 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12838	VOLKSWAGEN  Passat	Passat 2.0 TDI BMT SCR Bi-Turbo Highline 4Motion DSG	Magánszemély	(Győr)	Minősített magánszemély	2014. 08.	150 635 km	6 000 000 Ft	150 635 km	236 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	4 ajtós	5 fő	Duplakuplung
12839	VOLKSWAGEN  Touran	Touran 2.0 TDI BMT SCR Comfortline [7 személy]	Magánszemély	(Ásványráró)	Minősített magánszemély	2016. 08.	180 000 km	6 000 000 Ft	180 000 km	148 LE	1968 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
12840	FORD  Mondeo	Mondeo 2.0 TDCi ECOnetic Titanium	Magánszemély	(Cserszegtomaj)	Minősített magánszemély	2017. 03.	150 000 km	6 000 000 Ft	150 000 km	148 LE	1997 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12841	SUZUKI  SX4 S-Cross	SX4 S-Cross 1.4T GL+	Magánszemély	(Taksony)	Minősített magánszemély	2019. 08.	40 552 km	6 000 000 Ft	40 552 km	138 LE	1373 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12842	SKODA  Octavia	Octavia Combi 2.0 CR TDI Style DSG6	Magánszemély	(Törökbálint)	Minősített magánszemély	2018. 08.	157 600 km	6 100 000 Ft	157 600 km	148 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12843	FORD  C-Max	DXA	Magánszemély	(Kulcs)	Minősített magánszemély	2018. 01.	75 400 km	6 199 000 Ft	75 400 km	94 LE	1596 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12844	FORD  Kuga	Kuga 1.5 EcoBoost Business	Magánszemély	(Kőszeg)	Minősített magánszemély	2018. 08.	103 000 km	6 200 000 Ft	103 000 km	148 LE	1498 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12845	VOLKSWAGEN  Passat	Passat Variant 2.0 TDI BMT Comfortline	Magánszemély	(Eger)	Minősített magánszemély	2015. 03.	147 800 km	6 200 000 Ft	147 800 km	148 LE	1968 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
12846	MAZDA  Mazda 6	Mazda 6 2.2 CD Revolution Top Aut.	Magánszemély	(Hajdúböszörmény)	Minősített magánszemély	2016. 04.	150 000 km	6 200 000 Ft	150 000 km	173 LE	2191 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Automata
12847	MERCEDES-BENZ  C-osztály	C 220 T BlueTEC/d 7G-TRONIC	Magánszemély	(Debrecen)	Minősített magánszemély	2015. 01.	216 000 km	6 200 000 Ft	216 000 km	168 LE	2143 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12848	TOYOTA  Verso	1,6 Active Trend	Magánszemély	(Mezőkovácsháza)	Minősített magánszemély	2017. 07.	51 500 km	6 200 000 Ft	51 500 km	132 LE	1600 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
12849	KIA  Cee'd	Cee'd SW 1.6 GDI Gold DCT	Magánszemély	(XXIII. kerület)	Minősített magánszemély	2018. 04.	68 600 km	6 250 000 Ft	68 600 km	135 LE	1591 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Duplakuplung
12850	FORD  Mondeo	Mondeo Kombi 2.0 EcoBlue Titanium Aut.	Magánszemély	(Székesfehérvár)	Nem minősített eladó	2019. 05.	148 000 km	6 290 000 Ft	148 000 km	148 LE	1997 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12851	HYUNDAI  i20	i20 1.2 MPi Comfort	Magánszemély	(Iklad)	Minősített magánszemély	2021. 09.	9 300 km	6 300 000 Ft	9 300 km	83 LE	1197 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
12852	RENAULT  Espace	Espace 1.6 dCi Initiale Paris 4Control EDC6 (7 sz.)	Magánszemély	(Szekszárd)	Minősített magánszemély	2015. 06.	172 000 km	5 790 000 Ft	172 000 km	158 LE	1598 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Duplakuplung
12853	SUZUKI  Vitara	Vitara 1.0 GL+	Magánszemély	(Budakeszi)	Minősített magánszemély	2019. 03.	65 200 km	6 400 000 Ft	65 200 km	110 LE	998 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
12854	VOLKSWAGEN  Touareg	Touareg 3.0 V6 TDI BMT tiptronic	Magánszemély	(XI. kerület)	Minősített magánszemély	2012. 05.	192 000 km	6 490 000 Ft	192 000 km	242 LE	2967 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
12855	MERCEDES-BENZ  GLK-osztály	GLK 250 BlueTEC 4Matic Aut.	Magánszemély	(Szár)	Minősített magánszemély	2013. 04.	152 000 km	6 490 000 Ft	152 000 km	201 LE	2143 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
