	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13811	VOLKSWAGEN  Transporter	Transporter 2.5 TDI 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2009. 10.	412 363 km	3 799 000 Ft	412 363 km	131 LE	2460 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13812	VOLKSWAGEN  New Beetle	Beetle 1.2 TSI 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2011. 11.	176 874 km	3 799 000 Ft	176 874 km	105 LE	1197 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
13813	SMART  Forfour	Forfour 1.0 Passion 	Ho-Sp Hungary Kft.	(XXI. kerület)	Márkakereskedő	2019. 02.	79 000 km	3 799 000 Ft	79 000 km	71 LE	999 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	4 fő	Manuális
13814	VOLKSWAGEN  CC	CC 2.0 CR TDI BMT DSG 	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2012. 02.	298 000 km	3 799 999 Ft	298 000 km	140 LE	1968 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Automata
13815	FORD  Fiesta	Fiesta 1.1 Business Technology 	RoyalCar Autoker Kft.	(Szombathely)	Minősített Prémium kereskedő	2018. 12.	102 500 km	3 799 999 Ft	102 500 km	69 LE	1084 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13816	RENAULT  Captur	Captur 0.9 TCe Energy Intens S&S 	Hering Autócentrum Kft.	(Gyöngyös)	Márkakereskedő	2016. 08.	113 606 km	3 850 000 Ft	113 606 km	90 LE	898 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13818	CITROEN  DS5	DS5 2.0 HDi Sport (Automata) 	L.P.L Autó Kft.	(Botykapeterd)	Minősített Prémium kereskedő	2013. 10.	183 433 km	3 868 000 Ft	183 433 km	163 LE	1997 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
13819	HYUNDAI  ix55	ix55 3.0 CRDi V6 Executive (Automata) (7 személyes ) 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2010. 02.	388 000 km	3 880 000 Ft	388 000 km	239 LE	2959 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	7 fő	Tiptronic
13821	SKODA  Octavia	Octavia 2.0 CR TDI Ambition 	Korekt-Autó Kft.	(Sopron)	Minősített Prémium kereskedő	2015. 03.	238 000 km	3 880 000 Ft	238 000 km	150 LE	1968 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13822	FORD  Connect	Transit Connect 210 1.6 TDCi LWB Trend 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2014. 06.	72 853 km	3 890 000 Ft  + Áfa	72 853 km	95 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
